om,yr,mo,dy,date,time,ts,UTC,tz,st,slat,slon,elat,elon,tempmax,tempmin,temp,humidity,dew,precip,preciptype,windspeed,winddir,pressure,cloudcover,visibility
619634,2021,1,27,1/27/2021,10:30:00,1/27/2021 10:30,1/27/2021 16:30,3,FL,30.4182,-84.5522,30.4196,-84.5381,,,71.2,96.6,70.2,0.006,['rain'],7.6,179,1015.5,100,5.3
619635,2021,1,27,1/27/2021,10:37:00,1/27/2021 10:37,1/27/2021 16:37,3,FL,30.4074,-84.4323,30.3705,-84.0763,,,71.8,94.3,70.1,0.001,['rain'],6.2,188,1015.4,100,6.6
619636,2021,1,30,1/30/2021,13:43:00,1/30/2021 13:43,1/30/2021 19:43,3,OK,36.867,-95.803,36.875,-95.783,,,51,97.4,50.3,0.11,['rain'],4.4,19,997.9,100,4.6
619637,2021,1,30,1/30/2021,13:46:00,1/30/2021 13:46,1/30/2021 19:46,3,OK,36.8768,-95.774,36.8794,-95.7679,,,50.8,97.3,50,0.102,['rain'],4.9,34,997.9,100,5
619638,2021,1,30,1/30/2021,13:48:00,1/30/2021 13:48,1/30/2021 19:48,3,OK,36.8848,-95.7617,36.8953,-95.7385,,,50.7,97,49.9,0.096,['rain'],5.3,38,997.9,100,5.3
619639,2021,1,30,1/30/2021,13:56:00,1/30/2021 13:56,1/30/2021 19:56,3,OK,36.894,-95.6926,36.9064,-95.6593,,,50.5,96,49.4,0.076,['rain'],6.5,61,998,100,6.5
619640,2021,2,6,2/6/2021,15:12:00,2/6/2021 15:12,2/6/2021 21:12,3,FL,27.7359,-80.532,27.7379,-80.5318,,,77,81.9,71,0,,11.6,117,1012.4,90,8.4
619641,2021,2,14,2/14/2021,0:07:00,2/14/2021 0:07,2/14/2021 6:07,3,FL,27.8165,-82.8038,27.832,-82.792,,,70.4,88.4,66.8,0.003,['rain'],6.6,55,1013.3,77.9,9
619642,2021,2,14,2/14/2021,13:30:00,2/14/2021 13:30,2/14/2021 19:30,3,FL,29.8599,-81.4972,29.8598,-81.4971,,,60.7,92.5,58.5,0.001,['rain'],10.5,22,1011.7,100,2.8
619643,2021,2,15,2/15/2021,14:02:00,2/15/2021 14:02,2/15/2021 20:02,3,FL,30.2211,-85.8898,30.2338,-85.8735,,,62.4,100,66.9,0,,24.1,130,1007.3,100,3.2
619644,2021,2,15,2/15/2021,14:39:00,2/15/2021 14:39,2/15/2021 20:39,3,FL,30.5994,-85.4557,30.6095,-85.454,,,66.3,93.1,64.2,0.001,['rain'],10.1,138,1005.6,100,6
619645,2021,2,15,2/15/2021,15:17:00,2/15/2021 15:17,2/15/2021 21:17,3,FL,30.207,-82.738,30.208,-82.734,,,73.6,85.1,68.9,0.002,['rain'],7.3,172,1012.2,99.4,9.4
619646,2021,2,15,2/15/2021,15:29:00,2/15/2021 15:29,2/15/2021 21:29,3,GA,30.89,-84.82,30.8944,-84.8133,,,64.9,95.4,63.6,0,,9.3,142,1007,100,8.6
619647,2021,2,15,2/15/2021,15:38:00,2/15/2021 15:38,2/15/2021 21:38,3,GA,31.3,-84.7,31.281,-84.7211,,,64,100,65.1,0.016,['rain'],9.7,159,1007.2,100,5.3
619648,2021,2,15,2/15/2021,22:34:00,2/15/2021 22:34,2/16/2021 4:34,3,NC,33.9118,-78.5096,34.1774,-78.3008,,,63.4,87.7,59.7,0.21,['rain'],11.7,162,1009.2,100,4.3
619649,2021,2,28,2/28/2021,18:15:00,2/28/2021 18:15,3/1/2021 0:15,3,LA,32.8911,-94.0091,32.898,-93.9853,,,75.6,74.3,66.9,0,,9.6,173,1010,56.9,9.9
619650,2021,2,28,2/28/2021,20:18:00,2/28/2021 20:18,3/1/2021 2:18,3,KY,36.7925,-85.0874,36.794,-85.02,,,62.9,97.2,62.1,0.072,['rain'],11.8,11,1010.7,100,9.1
619651,2021,3,1,3/1/2021,5:04:00,3/1/2021 5:04,3/1/2021 11:04,3,GA,33.567,-84.4528,33.5601,-84.4429,,,69.1,78.8,62.2,0,,14,221,1012.6,91.2,9.8
619652,2021,3,12,3/12/2021,17:05:00,3/12/2021 17:05,3/12/2021 23:05,3,TX,33.7628,-102.0183,33.778,-102.0038,,,71.1,60.5,56.7,0,,17.3,141,1013.2,85.7,9.9
619653,2021,3,12,3/12/2021,20:16:00,3/12/2021 20:16,3/13/2021 2:16,3,TX,33.8791,-100.3975,33.8797,-100.3935,,,68,78.5,61.1,0,,8.1,120,1016.4,0,9.9
619654,2021,3,13,3/13/2021,14:55:00,3/13/2021 14:55,3/13/2021 20:55,3,TX,34.5267,-102.1505,34.5284,-102.1345,,,68.5,72.8,59.4,0,,27.3,158,1008.7,62.3,9.9
619655,2021,3,13,3/13/2021,15:15:00,3/13/2021 15:15,3/13/2021 21:15,3,TX,34.7054,-101.9869,34.95,-101.7648,,,67.6,74.7,59.3,0,,27.6,158,1008.4,71.4,9.9
619656,2021,3,13,3/13/2021,15:31:00,3/13/2021 15:31,3/13/2021 21:31,3,TX,34.8012,-101.9115,34.8243,-101.8769,,,65,75.9,57.2,0,,28.2,193,1006.5,56.8,9.9
619657,2021,3,13,3/13/2021,15:37:00,3/13/2021 15:37,3/13/2021 21:37,3,TX,34.8163,-101.8576,34.8579,-101.8213,,,64.7,76.9,57.3,0,,27.8,186,1006.3,55.1,9.9
619658,2021,3,13,3/13/2021,15:48:00,3/13/2021 15:48,3/13/2021 21:48,3,TX,34.9765,-101.7275,35.0366,-101.604,,,62.8,82.8,57.5,0,,26.2,159,1005.5,53.8,9.9
619659,2021,3,13,3/13/2021,15:54:00,3/13/2021 15:54,3/13/2021 21:54,3,TX,34.4136,-102.1134,34.4262,-102.1057,,,67.7,70.8,57.9,0,,27.1,183,1006.8,40.3,9.9
619660,2021,3,13,3/13/2021,15:55:00,3/13/2021 15:55,3/13/2021 21:55,3,TX,34.5248,-102.0696,34.5289,-102.0677,,,66.5,72.6,57.5,0,,29,198,1006.9,51,9.9
619661,2021,3,13,3/13/2021,16:05:00,3/13/2021 16:05,3/13/2021 22:05,3,TX,34.7335,-101.7323,34.7623,-101.6852,,,64.9,77.3,57.7,0,,27.6,175,1006.2,49.9,9.9
619662,2021,3,13,3/13/2021,16:06:00,3/13/2021 16:06,3/13/2021 22:06,3,TX,35.0114,-101.6449,35.1717,-101.5274,,,63.1,82.4,57.7,0,,25.7,151,1005.4,55.2,9.9
619663,2021,3,13,3/13/2021,16:21:00,3/13/2021 16:21,3/13/2021 22:21,3,TX,34.0825,-101.6966,34.0825,-101.6966,,,67.6,74.3,59.1,0,,27.6,140,1006.3,27.7,9.9
619664,2021,3,13,3/13/2021,16:46:00,3/13/2021 16:46,3/13/2021 22:46,3,TX,34.2333,-101.4877,34.2333,-101.4877,,,63.2,88.9,59.8,0.288,['rain'],14.7,164,1005.4,92.6,6.5
619665,2021,3,13,3/13/2021,17:02:00,3/13/2021 17:02,3/13/2021 23:02,3,TX,35.1251,-101.236,35.1698,-101.2295,,,62.7,86.4,58.6,0.005,['rain'],27,135,1005.1,85.8,7.5
619666,2021,3,13,3/13/2021,17:08:00,3/13/2021 17:08,3/13/2021 23:08,3,TX,34.4504,-101.3292,34.4504,-101.3292,,,62.2,92.3,59.9,0.315,['rain'],13.8,165,1005.8,95,6.2
619667,2021,3,13,3/13/2021,17:48:00,3/13/2021 17:48,3/13/2021 23:48,3,TX,34.8861,-100.9292,35.0549,-100.8505,,,63.4,83.9,58.4,0.051,['rain'],22.5,185,1005.1,95.7,6.5
619668,2021,3,13,3/13/2021,17:51:00,3/13/2021 17:51,3/13/2021 23:51,3,TX,34.9348,-100.9031,34.9475,-100.8973,,,63.1,85.5,58.7,0.042,['rain'],22.6,177,1005.2,96.5,7.1
619669,2021,3,13,3/13/2021,19:41:00,3/13/2021 19:41,3/14/2021 1:41,3,TX,34.28,-99.965,34.28,-99.965,,,67.5,83.1,62.2,0,,19,127,1006.8,100,9.7
619670,2021,3,13,3/13/2021,20:00:00,3/13/2021 20:00,3/14/2021 2:00,3,TX,34.3834,-99.88,34.3834,-99.88,,,67.6,83.2,62.3,0,,21.5,130,1007.4,100,9.3
619671,2021,3,13,3/13/2021,20:15:00,3/13/2021 20:15,3/14/2021 2:15,3,OK,34.49,-99.7704,34.49,-99.7704,,,66.5,82.7,61,0.004,['rain'],23.5,133,1008.1,98.5,8.4
619672,2021,3,13,3/13/2021,20:29:00,3/13/2021 20:29,3/14/2021 2:29,3,OK,34.583,-99.7,34.583,-99.7,,,66.7,81.8,61,0.004,['rain'],26.9,138,1008.9,98.2,8.1
619673,2021,3,13,3/13/2021,20:49:00,3/13/2021 20:49,3/14/2021 2:49,3,OK,34.767,-99.668,34.775,-99.66,,,66.3,81.2,60.3,0,,14.4,122,1010.2,100,9.9
619674,2021,3,13,3/13/2021,21:22:00,3/13/2021 21:22,3/14/2021 3:22,3,KS,37.4986,-100.2752,37.6716,-100.3102,,,52.6,100,52.6,0.106,['rain'],14.3,73,1009.5,100,4.2
619675,2021,3,14,3/14/2021,11:50:00,3/14/2021 11:50,3/14/2021 16:50,3,KS,39.76,-101.71,39.76,-101.71,,,41.4,95.3,40.2,0.004,['rain'],22.2,71,1002,100,9.9
619676,2021,3,14,3/14/2021,13:33:00,3/14/2021 13:33,3/14/2021 18:33,3,NE,40.1675,-101.0498,40.1728,-101.0536,,,45.5,91.2,43,0,,23.4,102,1005.2,97,9.9
619677,2021,3,15,3/15/2021,15:30:00,3/15/2021 15:30,3/15/2021 20:30,3,KS,38.7737,-94.6992,38.7803,-94.6754,,,52.3,79.5,46.1,0,,9.7,74,1005.9,100,9.9
619678,2021,3,15,3/15/2021,15:54:00,3/15/2021 15:54,3/15/2021 20:54,3,KS,38.8016,-95.1797,38.8016,-95.1797,,,53.2,78,46.5,0,,11.5,78,1005.8,100,9.9
619679,2021,3,15,3/15/2021,16:12:00,3/15/2021 16:12,3/15/2021 21:12,3,MO,38.7508,-94.3943,38.7508,-94.3943,,,53,82,47.6,0,,6.4,94,1006.9,100,9.9
619680,2021,3,16,3/16/2021,18:03:00,3/16/2021 18:03,3/16/2021 23:03,3,MS,31.7611,-90.3494,31.7647,-90.3261,,,76.7,80.6,70.2,0.002,['rain'],1.7,226,1011.3,90.9,9.5
619681,2021,3,16,3/16/2021,18:58:00,3/16/2021 18:58,3/16/2021 23:58,3,MS,31.7748,-89.9611,31.7755,-89.9523,,,70.1,86.2,65.8,0.18,['rain'],3.4,110,1011.4,79,7.9
619682,2021,3,17,3/17/2021,11:03:00,3/17/2021 11:03,3/17/2021 16:03,3,MS,31.6491,-88.9066,31.7913,-88.7595,,,74.4,85,69.6,0.003,['rain'],9.8,181,1010.8,100,9.9
619683,2021,3,17,3/17/2021,11:31:00,3/17/2021 11:31,3/17/2021 16:31,3,AL,32.4134,-88.2421,32.4172,-88.2383,,,71.9,90,68.8,0.007,['rain'],7.7,144,1012.2,90.3,6.6
619684,2021,3,17,3/17/2021,11:32:00,3/17/2021 11:32,3/17/2021 16:32,3,AL,32.424,-86.9542,32.4769,-86.8952,,,71.3,89.9,68.2,0,,6.5,136,1013.8,100,9.9
619685,2021,3,17,3/17/2021,11:57:00,3/17/2021 11:57,3/17/2021 16:57,3,AL,32.539,-88.1341,32.6764,-88.107,,,71.6,97.9,70.9,0.008,['rain'],5.6,149,1012.4,98.7,8.6
619686,2021,3,17,3/17/2021,12:16:00,3/17/2021 12:16,3/17/2021 17:16,3,MS,31.5903,-90.3218,31.6559,-90.2507,,,75.3,83.5,70,0,,15.1,190,1010.1,99.9,8.2
619687,2021,3,17,3/17/2021,12:24:00,3/17/2021 12:24,3/17/2021 17:24,3,AL,32.6621,-86.692,32.6855,-86.6518,,,70.2,92.4,67.9,0,,6.3,96,1013.8,100,9.7
619688,2021,3,17,3/17/2021,12:56:00,3/17/2021 12:56,3/17/2021 17:56,3,AL,32.8165,-86.5539,32.8573,-86.5363,,,68.3,90.4,65.4,0,,6.8,133,1014.1,100,8.7
619689,2021,3,17,3/17/2021,13:03:00,3/17/2021 13:03,3/17/2021 18:03,3,AL,32.5117,-87.8866,32.5176,-87.8744,,,74,88.7,70.4,0,,6.9,140,1011.9,100,9.9
619690,2021,3,17,3/17/2021,13:12:00,3/17/2021 13:12,3/17/2021 18:12,3,AL,32.9081,-87.7584,33.1254,-87.4878,,,70.1,94.7,68.5,0.151,['rain'],4,154,1012.1,100,7.4
619691,2021,3,17,3/17/2021,13:22:00,3/17/2021 13:22,3/17/2021 18:22,3,AL,32.0678,-87.9015,32.0899,-87.8623,,,73.4,90.6,70.4,0.028,['rain'],6.6,191,1011.9,25.5,9.9
619692,2021,3,17,3/17/2021,13:26:00,3/17/2021 13:26,3/17/2021 18:26,3,LA,32.7643,-92.4998,32.7883,-92.4645,,,73.6,70.6,63.4,0.005,['rain'],10.2,196,1008.7,90,9.5
619693,2021,3,17,3/17/2021,13:29:00,3/17/2021 13:29,3/17/2021 18:29,3,AL,33.0063,-86.3522,33.0073,-86.3503,,,65.8,90.8,63.1,0,,7.1,131,1014.6,100,9.5
619694,2021,3,17,3/17/2021,14:09:00,3/17/2021 14:09,3/17/2021 19:09,3,AL,33.1907,-87.3795,33.1959,-87.3728,,,71.5,91.8,68.9,0,,6.9,192,1009.6,100,9.5
619695,2021,3,17,3/17/2021,14:25:00,3/17/2021 14:25,3/17/2021 19:25,3,AL,33.2887,-87.2997,33.3361,-87.2896,,,69.9,92.3,67.5,0.047,['rain'],6.9,179,1008.5,100,8.6
619696,2021,3,17,3/17/2021,14:44:00,3/17/2021 14:44,3/17/2021 19:44,3,MS,31.6842,-88.4855,32.0107,-88,,,72.3,86.6,68.1,0.148,['rain'],7.4,175,1008.7,58.2,6.7
619696,2021,3,17,3/17/2021,14:44:00,3/17/2021 14:44,3/17/2021 19:44,3,MS,31.6842,-88.4855,31.6996,-88.4645,,,72.3,86.6,68.1,0.148,['rain'],7.4,175,1008.7,58.2,6.7
619696,2021,3,17,3/17/2021,14:47:00,3/17/2021 14:47,3/17/2021 19:47,3,AL,31.6996,-88.4645,32.0107,-88,,,72.3,86.6,68.1,0.139,['rain'],7.4,174,1008.7,57.4,6.8
619697,2021,3,17,3/17/2021,14:54:00,3/17/2021 14:54,3/17/2021 19:54,3,AL,33.336,-87.3097,33.3995,-87.2435,,,70.3,92.4,68,0.046,['rain'],7.7,155,1007.4,92.7,6.3
619698,2021,3,17,3/17/2021,15:06:00,3/17/2021 15:06,3/17/2021 20:06,3,MS,31.233,-91.3113,31.2441,-91.3056,,,80.2,62.5,66.2,0,,15.6,198,1007.1,93.9,9.9
619699,2021,3,17,3/17/2021,15:11:00,3/17/2021 15:11,3/17/2021 20:11,3,AL,32.285,-87.428,32.294,-87.416,,,72,,,0,,8.1,145,1011,0,
619700,2021,3,17,3/17/2021,15:30:00,3/17/2021 15:30,3/17/2021 20:30,3,AL,33.5371,-87.0217,33.5684,-86.9937,,,67.5,92.3,65.2,0.03,['rain'],10.9,150,1006.7,100,6
619701,2021,3,17,3/17/2021,15:37:00,3/17/2021 15:37,3/17/2021 20:37,3,AR,33.6201,-91.3797,33.6201,-91.3797,,,76.1,69.4,65.3,0.003,['rain'],12.1,175,1002.9,49.7,9.9
619702,2021,3,17,3/17/2021,15:54:00,3/17/2021 15:54,3/17/2021 20:54,3,AL,32.0921,-87.8699,32.1171,-87.8646,,,72.2,84.7,67.4,0.012,['rain'],9.2,179,1008.8,25.7,5
619703,2021,3,17,3/17/2021,15:56:00,3/17/2021 15:56,3/17/2021 20:56,3,AL,33.6619,-86.8534,33.6947,-86.8113,,,67.7,88.8,64.3,0.037,['rain'],12.3,149,1009.7,97.9,6.6
619704,2021,3,17,3/17/2021,16:12:00,3/17/2021 16:12,3/17/2021 21:12,3,AL,32.6746,-86.7364,32.7544,-86.7028,,,73.3,79.4,66.5,0.006,['rain'],8.5,150,1011.5,93.6,9.2
619705,2021,3,17,3/17/2021,16:30:00,3/17/2021 16:30,3/17/2021 21:30,3,MO,36.6,-93.82,36.86,-93.54,,,65.1,84.2,60.2,0,,10,96,999.3,37.7,9.9
619706,2021,3,17,3/17/2021,16:43:00,3/17/2021 16:43,3/17/2021 21:43,3,AL,33.9227,-86.5587,34.0614,-86.4172,,,62.6,94.6,61,0.173,['rain'],8.6,126,1011,67,4
619707,2021,3,17,3/17/2021,17:16:00,3/17/2021 17:16,3/17/2021 22:16,3,MS,31.1532,-89.613,31.1646,-89.5932,,,78.8,74.4,70,0,,15.7,193,1007.2,92.2,9.9
619708,2021,3,17,3/17/2021,18:25:00,3/17/2021 18:25,3/17/2021 23:25,3,MS,33.9519,-88.816,33.9588,-88.8131,,,72.2,81.4,66.2,0.065,['rain'],14,171,1004.7,95.1,8.8
619709,2021,3,17,3/17/2021,18:31:00,3/17/2021 18:31,3/17/2021 23:31,3,MS,34.0296,-88.8041,34.0483,-88.7967,,,69.8,88.6,66.3,0.087,['rain'],8.8,100,1004.6,91.2,7.7
619710,2021,3,17,3/17/2021,18:39:00,3/17/2021 18:39,3/17/2021 23:39,3,MS,34.0783,-88.6295,34.1418,-88.5932,,,69.9,88.6,66.4,0.089,['rain'],8.9,99,1004.6,93.6,7.7
619711,2021,3,17,3/17/2021,18:56:00,3/17/2021 18:56,3/17/2021 23:56,3,MS,32.689,-88.5223,32.6915,-88.5195,,,70.1,86.9,66,0.003,['rain'],6,151,1007,90.4,9.9
619712,2021,3,17,3/17/2021,19:35:00,3/17/2021 19:35,3/18/2021 0:35,3,AL,32.6004,-86.6099,32.6013,-86.608,,,73.4,68.2,62.3,0.002,['rain'],8.2,149,1009.8,68,9.8
619713,2021,3,17,3/17/2021,20:31:00,3/17/2021 20:31,3/18/2021 1:31,3,AL,34.1997,-86.7521,34.2761,-86.6398,,,62.9,95.8,61.7,0.75,['rain'],1,22,1008.7,56.3,5
619714,2021,3,17,3/17/2021,21:43:00,3/17/2021 21:43,3/18/2021 2:43,3,AL,32.1279,-86.0797,32.1306,-86.0756,,,73.9,70,63.5,0,,15.2,162,1010.7,77.9,9.9
619715,2021,3,18,3/18/2021,3:08:00,3/18/2021 3:08,3/18/2021 8:08,3,AL,31.592,-86.2435,31.5985,-86.239,,,67.7,90.5,64.8,0.209,['rain'],8.9,229,1010.4,50.8,4.4
619716,2021,3,18,3/18/2021,4:27:00,3/18/2021 4:27,3/18/2021 9:27,3,AL,31.2125,-85.5527,31.2461,-85.4731,,,69.8,94.8,68.2,0,,7.9,165,1011.2,92.1,8.3
619717,2021,3,18,3/18/2021,4:49:00,3/18/2021 4:49,3/18/2021 9:49,3,AL,31.3047,-85.3825,31.3262,-85.3579,,,69.2,96.2,68,0.002,['rain'],16.9,131,1007.6,88.1,6.3
619718,2021,3,18,3/18/2021,5:02:00,3/18/2021 5:02,3/18/2021 10:02,3,FL,30.47,-85.81,30.4858,-85.7913,,,71.1,95.9,69.9,0,,16.8,142,1010.8,99.7,6.4
619719,2021,3,18,3/18/2021,5:02:00,3/18/2021 5:02,3/18/2021 10:02,3,FL,30.3373,-85.8082,30.3779,-85.7619,,,71,96.7,70.1,0,,16.1,140,1011.2,100,6.2
619720,2021,3,18,3/18/2021,5:25:00,3/18/2021 5:25,3/18/2021 10:25,3,FL,30.2631,-85.5294,30.2647,-85.5235,,,70.5,95.7,69.2,0,,18.4,153,1010.4,97.9,6.9
619721,2021,3,18,3/18/2021,5:44:00,3/18/2021 5:44,3/18/2021 10:44,3,GA,31.36,-84.88,31.39,-84.84,,,69.9,83.3,64.6,0,,11.4,170,1008.8,99.9,6.9
619722,2021,3,18,3/18/2021,6:40:00,3/18/2021 6:40,3/18/2021 11:40,3,FL,30.36,-84.9,30.36,-84.9,,,71.9,87.6,68.1,0,,19.3,171,1009.7,100,9.3
619723,2021,3,18,3/18/2021,6:49:00,3/18/2021 6:49,3/18/2021 11:49,3,GA,31.6743,-84.3793,31.6852,-84.3126,,,70.1,89.5,66.8,0.002,['rain'],13.6,181,1010.2,54.4,6.8
619724,2021,3,18,3/18/2021,7:06:00,3/18/2021 7:06,3/18/2021 12:06,3,GA,31.6791,-84.172,31.7912,-84.0533,,,69.9,89.4,66.6,0,,14.5,179,1010.4,55,6.8
619725,2021,3,18,3/18/2021,11:38:00,3/18/2021 11:38,3/18/2021 16:38,3,GA,31.4715,-82.2066,31.4717,-82.205,,,69,89.8,65.9,0.024,['rain'],8.2,171,1010.8,87,8.5
619726,2021,3,18,3/18/2021,12:46:00,3/18/2021 12:46,3/18/2021 17:46,3,FL,29.7254,-82.675,29.7969,-82.4835,,,74.8,79.9,68.2,0.004,['rain'],14.5,199,1012.9,77.1,7.6
619727,2021,3,18,3/18/2021,15:01:00,3/18/2021 15:01,3/18/2021 20:01,3,NC,35.93,-79.99,35.95,-79.95,,,59.4,92.5,57.2,0,,8.7,147,1005.2,100,4.3
619728,2021,3,18,3/18/2021,15:38:00,3/18/2021 15:38,3/18/2021 20:38,3,NC,36.0629,-79.5485,36.0814,-79.5065,,,66.7,79.5,60.2,0,,3.5,157,1004,100,9.7
619729,2021,3,18,3/18/2021,16:04:00,3/18/2021 16:04,3/18/2021 21:04,3,NC,36.17,-79.249,36.2,-79.187,,,63.1,86.5,59,0,,3.4,165,1004.8,100,8.8
619730,2021,3,18,3/18/2021,19:27:00,3/18/2021 19:27,3/19/2021 0:27,3,VA,36.7597,-76.8566,36.77,-76.7822,,,68.6,89.1,65.2,0.008,['rain'],1.2,343,1002.8,86.4,9.5
619731,2021,3,19,3/19/2021,21:04:00,3/19/2021 21:04,3/20/2021 2:04,3,WA,46.3177,-124.0062,46.3209,-124.0029,,,45.9,83.3,41.1,0.057,['rain'],17.7,182,1013.5,100,9.7
619732,2021,3,22,3/22/2021,18:44:00,3/22/2021 18:44,3/22/2021 23:44,3,TX,33.9621,-100.3,33.9621,-100.3,,,54,90.3,51.2,0,,5.8,170,998.8,50,9.9
619733,2021,3,23,3/23/2021,0:04:00,3/23/2021 0:04,3/23/2021 5:04,3,TX,29.8757,-98.2665,29.8757,-98.2607,,,66.5,88.2,62.9,0,,15,172,1005,100,9.9
619734,2021,3,23,3/23/2021,6:22:00,3/23/2021 6:22,3/23/2021 11:22,3,LA,30.6092,-92.0619,30.6153,-92.0483,,,65.6,79.6,59.1,0,,8.9,138,1007.5,98.9,9.9
619735,2021,3,23,3/23/2021,18:19:00,3/23/2021 18:19,3/23/2021 23:19,3,IA,40.6762,-91.3471,40.6772,-91.3458,,,57.2,93.6,55.4,0,,15,120,1000.3,100,9.9
619736,2021,3,23,3/23/2021,18:19:00,3/23/2021 18:19,3/23/2021 23:19,3,IL,39.54,-91.05,39.56,-91.04,,,58.8,92.8,56.7,0,,16.7,130,1000.3,100,9.9
619737,2021,3,23,3/23/2021,21:28:00,3/23/2021 21:28,3/24/2021 2:28,3,IL,40.2375,-89.7394,40.2617,-89.7154,,,57.9,90.3,55,0.022,['rain'],18,148,1002.6,96.7,8.7
619738,2021,3,24,3/24/2021,18:03:00,3/24/2021 18:03,3/24/2021 23:03,3,TX,31.69,-98.01,31.6988,-97.9975,,,69,73,60,0,,12,129,1005.1,89,9.9
619739,2021,3,24,3/24/2021,18:32:00,3/24/2021 18:32,3/24/2021 23:32,3,TX,31.81,-97.75,31.8137,-97.7421,,,67.7,80.2,61.4,0,,9.2,115,1004.8,89,8.5
619740,2021,3,25,3/25/2021,11:16:00,3/25/2021 11:16,3/25/2021 16:16,3,AL,32.9386,-87.5753,33.0076,-87.4027,,,68.8,95.6,67.5,0.044,['rain'],9.6,187,1007.9,100,6.5
619741,2021,3,25,3/25/2021,11:53:00,3/25/2021 11:53,3/25/2021 16:53,3,AL,33.1157,-87.1707,33.5047,-86.4381,,,68.2,95.8,67,0.035,['rain'],12.2,180,1006,100,5.7
619742,2021,3,25,3/25/2021,12:35:00,3/25/2021 12:35,3/25/2021 17:35,3,MS,33.0135,-88.3517,33.0701,-88.2603,,,72.5,97.6,71.8,0.006,['rain'],7.9,196,1009.1,100,9.9
619742,2021,3,25,3/25/2021,12:35:00,3/25/2021 12:35,3/25/2021 17:35,3,MS,33.0135,-88.3517,33.0205,-88.3372,,,72.5,97.6,71.8,0.006,['rain'],7.9,196,1009.1,100,9.9
619742,2021,3,25,3/25/2021,12:36:00,3/25/2021 12:36,3/25/2021 17:36,3,AL,33.0207,-88.3368,33.0701,-88.2603,,,72.5,97.8,71.9,0.006,['rain'],7.9,196,1009.1,100,9.9
619743,2021,3,25,3/25/2021,13:31:00,3/25/2021 13:31,3/25/2021 18:31,3,AL,33.7026,-86.1053,33.9872,-85.5389,,,72.4,80.4,66,0.045,['rain'],13.9,191,1011.4,92.8,9.9
619744,2021,3,25,3/25/2021,14:57:00,3/25/2021 14:57,3/25/2021 19:57,3,AL,32.8781,-87.9756,32.9888,-87.816,,,73.3,88.5,69.7,0.002,['rain'],5,220,1008.1,100,7.6
619745,2021,3,25,3/25/2021,14:59:00,3/25/2021 14:59,3/25/2021 19:59,3,SC,34.506,-81.723,34.515,-81.687,,,72.5,63.5,59.4,0,,8.5,156,1014.6,63.2,9.5
619746,2021,3,25,3/25/2021,15:26:00,3/25/2021 15:26,3/25/2021 20:26,3,AL,32.6892,-87.7387,33.2209,-86.5249,,,74.3,85.8,69.7,0.004,['rain'],9.9,215,1008.1,100,7.6
619746,2021,3,25,3/25/2021,15:26:00,3/25/2021 15:26,3/25/2021 20:26,3,AL,0,0,0,0,,,,,,,,,,,,
