,temp,humidity,dew,precip,preciptype,windspeed,winddir,pressure,cloudcover,visibility,mean,max,min,var,nonzeros,above_threshold,label,set
1306,66.4,75.4,58.4,0.0,0,20.8,169.0,993.0,99.0,9.9,0.4843248128890991,19.600000381469727,0.0,5.3342790603637695,116,116,0,train
632,87.9,48.0,65.8,0.0,0,9.2,80.0,1011.9,3.7,9.9,20.902437210083008,59.20000076293945,0.0,315.2840270996094,1117,1117,0,train
371,75.0,90.3,72.0,0.0,0,3.3,34.0,1016.1,85.8,9.9,3.4186224937438965,30.600000381469727,0.0,49.76996612548828,401,401,0,test
669,77.3,92.6,74.9,0.0,0,8.2,117.0,1013.6,17.5,9.8,6.947865962982178,51.900001525878906,0.0,180.1997528076172,394,394,0,test
916,77.5,84.2,72.4,0.046,1,13.3,129.0,1001.6,100.0,6.5,34.393821716308594,49.10000228881836,9.0,44.77156448364258,1764,1764,0,train
461,76.9,59.0,61.5,0.0,0,20.9,141.0,1014.5,45.6,9.9,0.0,0.0,0.0,0.0,0,0,0,val
655,73.6,93.5,71.6,0.071,1,3.7,51.0,1012.0,100.0,9.9,8.943854331970215,53.5,0.0,255.62327575683594,505,505,0,train
671,72.6,94.2,70.9,0.0,0,8.5,151.0,1013.4,75.8,9.9,2.601905345916748,34.0,0.0,47.18316650390625,362,362,0,test
1232,68.3,63.0,55.2,0.0,0,20.5,161.0,987.7,54.7,9.9,0.0,0.0,0.0,0.0,0,0,0,train
698,81.4,77.2,73.6,0.016,1,11.3,207.0,1009.0,91.6,8.1,8.925793647766113,43.0,0.0,156.69265747070312,769,769,0,train
1212,72.2,80.2,65.8,0.008,1,16.3,221.0,1006.5,99.0,7.8,7.1762919425964355,44.0,0.0,157.4855499267578,556,556,0,test
1301,62.4,79.8,56.1,0.004,1,19.6,141.0,988.5,69.8,8.8,20.140438079833984,51.400001525878906,0.0,74.47362518310547,1506,1506,0,train
233,80.1,14.1,26.8,0.0,0,21.6,142.0,997.7,0.0,9.9,1.382912278175354,30.600000381469727,0.0,18.301542282104492,207,207,0,test
650,73.7,97.6,73.0,0.373,1,18.1,103.0,1009.8,100.0,3.1,36.10768127441406,51.400001525878906,21.399999618530273,34.90225601196289,1680,1680,0,val
1265,64.6,78.4,57.7,0.0,0,16.4,160.0,989.5,0.0,9.9,0.0,0.0,0.0,0.0,0,0,0,val
627,78.5,76.7,70.6,0.0,0,8.5,195.0,1010.0,59.8,9.9,0.39726191759109497,36.5,0.0,8.60350513458252,33,33,0,train
817,70.0,99.5,69.9,0.027,1,5.8,57.0,1022.5,100.0,8.9,18.355915069580078,39.10000228881836,0.0,133.50633239746094,1258,1258,0,val
1041,64.1,90.0,61.1,0.076,1,11.7,212.0,1009.9,99.4,9.9,1.7157317399978638,29.5,0.0,35.877418518066406,130,130,0,val
1010,59.3,85.7,55.0,0.003,1,24.0,135.0,993.0,100.0,9.9,10.185312271118164,56.20000076293945,0.0,167.87347412109375,767,767,0,val
1244,73.0,57.4,57.1,0.0,0,27.8,169.0,991.1,89.0,9.2,0.0,0.0,0.0,0.0,0,0,0,train
1333,64.1,77.8,57.0,0.0,0,14.8,160.0,992.4,97.3,9.2,0.11845238506793976,14.800000190734863,0.0,1.0353059768676758,34,34,0,val
495,41.5,87.0,37.9,0.006,1,6.0,72.0,1029.1,100.0,2.7,23.206998825073242,47.400001525878906,0.0,201.84820556640625,1323,1323,0,test
1363,69.6,88.9,66.2,0.0,0,2.7,124.0,1013.3,89.4,7.5,1.3703991174697876,42.79999923706055,0.0,30.0972843170166,124,124,0,train
16,77.0,81.9,71.0,0.0,0,11.6,117.0,1012.4,90.0,8.4,2.2492501735687256,33.79999923706055,0.0,47.7923583984375,174,174,0,train
71,69.9,92.3,67.5,0.047,1,6.9,179.0,1008.5,100.0,8.6,29.870134353637695,59.5,0.0,179.92298889160156,1717,1717,0,train
524,79.8,71.7,69.8,0.0,0,7.8,154.0,1015.1,96.3,9.5,20.863195419311523,54.900001525878906,0.0,269.4393615722656,1229,1229,0,train
653,70.1,93.0,68.0,0.0,0,7.4,132.0,1012.0,99.4,9.9,3.210125207901001,32.900001525878906,0.0,49.952266693115234,303,303,0,train
943,66.5,81.6,60.7,0.024,1,9.2,353.0,1002.3,89.0,9.9,16.83762550354004,40.400001525878906,0.0,68.66033935546875,1461,1461,0,val
1286,69.2,70.5,59.2,0.0,0,25.3,170.0,991.8,90.6,9.9,0.0,0.0,0.0,0.0,0,0,0,train
378,70.9,96.6,69.9,0.0,0,15.7,140.0,1015.4,100.0,9.8,13.028417587280273,51.0,0.0,206.3902130126953,962,962,0,train
177,70.8,85.8,66.3,0.027,1,9.8,180.0,1007.8,97.6,7.8,29.711362838745117,46.29999923706055,7.5,47.78182601928711,2420,2420,0,train
1253,66.0,71.8,56.6,0.0,0,13.2,149.0,987.1,33.3,9.9,0.0,0.0,0.0,0.0,0,0,0,test
780,83.8,79.7,76.8,0.001,1,12.1,190.0,1007.5,79.1,9.9,11.067943572998047,50.5,0.0,264.7577209472656,641,641,0,train
1177,75.7,71.6,65.9,0.0,0,27.7,208.0,1003.4,97.5,9.9,2.6196341514587402,41.0,0.0,38.90946578979492,304,304,0,train
920,83.6,33.3,51.7,0.0,0,3.9,106.0,1007.2,83.6,9.9,5.544867038726807,57.60000228881836,0.0,131.60482788085938,394,394,0,val
1129,77.8,67.0,66.0,0.0,0,10.3,233.0,1014.4,35.4,9.9,0.9579651355743408,35.0,0.0,19.1815185546875,93,93,0,train
240,68.0,99.9,68.0,0.074,1,4.7,72.0,1009.7,100.0,4.4,35.08018112182617,52.400001525878906,19.600000381469727,62.4923210144043,1978,1978,0,train
337,71.3,94.6,69.7,0.0,0,6.7,180.0,1009.2,95.7,8.6,4.557941436767578,44.60000228881836,0.0,103.75978088378906,307,307,0,val
666,76.3,89.9,73.1,0.0,0,10.5,119.0,1013.6,8.2,9.7,0.6098998188972473,46.20000076293945,0.0,16.450138092041016,68,68,0,train
30,68.5,72.8,59.4,0.0,0,27.3,158.0,1008.7,62.3,9.9,19.709346771240234,61.29999923706055,0.0,287.97381591796875,1125,1125,0,train
614,76.1,94.6,74.4,0.0,0,8.6,183.0,1009.8,100.0,9.0,18.996488571166992,57.5,0.0,319.7109375,1049,1049,0,train
192,84.6,48.4,63.0,0.0,0,10.8,179.0,1006.1,63.2,9.9,18.793563842773438,55.20000076293945,0.0,324.4361267089844,1402,1402,0,val
1180,71.7,80.1,65.2,0.0,0,22.2,190.0,1004.5,91.4,9.9,5.1442718505859375,46.20000076293945,0.0,96.8593521118164,1330,1330,0,train
242,65.3,97.4,64.6,0.044,1,3.8,69.0,1011.5,98.7,4.1,29.819259643554688,55.70000076293945,0.0,73.29253387451172,2263,2263,0,train
504,70.8,62.6,57.4,0.0,0,20.3,133.0,1012.8,92.7,9.9,18.74231719970703,69.80000305175781,0.0,177.8670196533203,1537,1537,0,test
1183,71.1,80.9,64.9,0.0,0,16.5,193.0,1004.2,98.5,9.9,2.2005386352539062,29.100000381469727,0.0,38.31076431274414,427,427,0,train
410,80.5,30.8,46.9,0.0,0,9.5,209.0,1009.5,55.3,9.9,2.365792989730835,59.79999923706055,0.0,94.85929870605469,101,101,0,train
1066,74.1,71.4,64.2,0.0,0,15.0,186.0,1006.3,41.2,9.5,13.658982276916504,58.0,0.0,238.6083526611328,1808,1808,0,test
955,83.9,54.1,65.6,0.0,0,12.7,160.0,1001.0,99.9,9.9,7.860687732696533,51.29999923706055,0.0,193.49359130859375,433,433,0,train
0,71.8,85.0,67.0,0.0,0,13.2,180.0,1015.8,100.0,9.9,31.381816864013672,48.20000076293945,8.600000381469727,38.773494720458984,1892,1892,0,train
1187,60.6,90.5,57.8,0.202,1,18.8,181.0,996.8,100.0,3.8,19.291719436645508,37.70000076293945,0.0,132.5989990234375,1434,1434,0,val
976,73.4,77.3,65.9,0.01,1,7.0,161.0,1005.2,95.1,9.9,5.304471969604492,45.20000076293945,0.0,100.1235122680664,456,456,0,train
393,67.4,32.5,36.9,0.0,0,10.9,167.0,1007.5,43.7,9.9,13.86275577545166,59.79999923706055,0.0,236.0333709716797,956,956,0,train
750,75.6,93.0,73.5,0.008,1,13.4,170.0,1007.5,100.0,8.0,18.956457138061523,54.10000228881836,0.0,328.3379821777344,1098,1098,0,train
